0;8;39
0;23;61
0;1;88
0;45;132
0;15;156
0;14;182
0;29;221
0;46;230
0;35;254
0;43;273
0;37;290
0;27;348
0;10;361
0;42;377
0;24;395
0;38;411
0;39;430
0;13;438
0;33;454
0;50;460
0;3;481
0;47;484
0;40;500
0;19;510
0;21;524
0;44;535
0;34;549
0;48;554
0;9;565
0;20;574
0;36;576
0;16;597
0;25;603
0;22;618
0;11;623
0;7;633
0;51;644
0;17;658
0;31;669
0;6;681
0;4;712
0;32;726
0;5;726
0;49;732
0;41;749
0;12;756
0;18;759
0;30;783
0;26;792
0;28;810
1;23;45
1;1;71
1;48;102
1;8;118
1;22;132
1;51;158
1;14;167
1;6;199
1;13;203
1;47;220
1;5;243
1;46;247
1;34;250
1;19;274
1;20;278
1;3;280
1;16;301
1;45;304
1;18;308
1;21;322
1;37;339
1;31;342
1;27;364
1;7;369
1;15;389
1;24;408
1;42;422
1;38;428
1;49;433
1;50;445
1;33;471
1;39;475
1;43;478
1;9;488
1;29;516
1;40;548
1;32;552
1;41;575
1;10;596
1;28;636
1;30;674
1;35;736
1;36;780
1;25;807
1;44;833
1;11;856
1;4;885
1;17;954
1;12;957
1;26;997
2;8;37
2;14;89
2;13;126
2;15;157
2;10;175
2;21;182
2;42;189
2;47;205
2;34;235
2;43;244
2;19;259
2;3;264
2;16;287
2;9;317
2;23;374
2;1;400
2;49;418
2;48;427
2;45;445
2;7;447
2;22;462
2;46;479
2;31;480
2;5;505
2;32;506
2;29;532
2;18;539
2;28;559
2;20;572
2;41;591
2;51;612
2;35;628
2;6;648
2;27;662
2;44;690
2;38;694
2;37;726
2;36;734
2;30;750
2;25;758
2;33;800
2;17;813
2;39;836
2;50;898
2;11;935
2;24;957
2;4;964
2;40;1000
2;12;1005
2;26;1044
3;8;54
3;14;103
3;13;140
3;47;155
3;45;179
3;21;198
3;19;213
3;23;231
3;3;249
3;27;270
3;35;300
3;34;311
3;15;327
3;36;344
3;42;360
3;9;364
3;32;366
3;39;383
3;1;383
3;11;389
3;31;403
3;43;413
3;50;415
3;4;417
3;7;429
3;37;430
3;41;451
3;40;453
3;17;453
3;16;456
3;12;459
3;30;485
3;46;495
3;26;498
3;28;509
3;44;519
3;49;529
3;10;564
3;38;582
3;24;597
3;25;617
3;48;632
3;29;642
3;33;658
3;22;664
3;6;696
3;18;743
3;5;772
3;51;816
3;20;871
4;23;60
4;1;86
4;48;115
4;46;132
4;38;160
4;6;180
4;45;191
4;33;203
4;15;218
4;18;227
4;13;250
4;5;255
4;14;272
4;20;291
4;3;293
4;42;313
4;27;315
4;51;328
4;21;335
4;32;346
4;22;364
4;43;366
4;41;369
4;34;389
4;50;396
4;37;414
4;39;429
4;16;439
4;8;442
4;24;456
4;9;470
4;28;493
4;40;499
4;49;512
4;30;531
4;35;534
4;29;564
4;44;596
4;10;609
4;7;632
4;36;637
4;47;639
4;25;664
4;31;664
4;19;693
4;11;713
4;4;742
4;12;783
4;17;812
4;26;854
5;8;55
5;14;104
5;13;140
5;47;157
5;34;188
5;10;190
5;3;217
5;16;239
5;21;259
5;23;264
5;19;274
5;49;277
5;45;304
5;7;306
5;15;328
5;31;339
5;1;352
5;43;381
5;48;383
5;35;393
5;9;395
5;22;415
5;29;422
5;42;423
5;6;448
5;27;458
5;46;462
5;32;489
5;5;492
5;30;518
5;44;519
5;51;533
5;39;538
5;36;562
5;41;575
5;25;588
5;20;591
5;50;601
5;18;617
5;11;637
5;38;647
5;4;667
5;28;667
5;40;671
5;33;687
5;17;705
5;12;708
5;37;710
5;26;747
5;24;752
6;8;38
6;14;89
6;13;127
6;15;158
6;10;172
6;21;182
6;42;189
6;47;202
6;19;229
6;34;234
6;43;242
6;3;265
6;16;288
6;1;308
6;9;318
6;45;350
6;31;356
6;27;378
6;7;383
6;23;403
6;50;431
6;38;442
6;49;450
6;39;461
6;37;478
6;32;503
6;41;530
6;40;532
6;35;566
6;29;596
6;46;605
